,Unnamed: 0,Time,User,Location,Tweet,subjectivity,polarity,TBsentiment,vader_compound,VADERsentiment
0,0,2022-04-27 05:22:43,lamek94,Windhoek ,must blame mr ekandjo ! everything belong swapo .,0.0,0.0,Neutral,-0.4003,Negative
1,1,2022-04-27 03:00:06,sinut69,Namibia,call national flag say belong swapo ? contradiction .,0.0,0.0,Neutral,-0.25,Negative
2,2,2022-04-26 21:47:25,__evuleMoses_,oshakati,"immanuel benefits swapo wants stay power till jesus comes . saara co ' see anything wrong , heads ' well oiled machine. ship sank already , ' drawing .",0.5,-0.15,Negative,0.1531,Positive
3,3,2022-04-26 20:47:28,journeyman_94,Namibia,swanu flag inspired swapo flag ?,0.0,0.0,Neutral,0.4939,Positive
4,4,2022-04-26 20:46:52,_EierKlitser,Namibia,swapo wants rule enrich pockets like pm. kak biased shows .,0.1,0.2,Positive,0.1027,Positive
5,5,2022-04-26 20:41:59,_EierKlitser,Namibia,"swapo want claim namibia flag belongs party still named south west africa ? serious , name would changed 1990 nampo problem swapo think citizens serve instead serving people .",0.6666666666666666,-0.3333333333333333,Negative,0.0,Neutral
6,6,2022-04-26 19:57:22,jones58496143,Namibia,swapo go hell sowaar done ' fact useless president thank since national flag belong swapo utter nonsense let power get heads shit comes mouth,0.6666666666666666,-0.2333333333333333,Negative,-0.9099,Negative
7,7,2022-04-26 19:47:05,Talk2Kilian,Namibia,mad ... swapo namibia,1.0,-0.625,Negative,-0.4939,Negative
8,8,2022-04-26 19:37:53,sinut69,Namibia,992 woman babelaas ... swapo gone dogs ... long overdue ... saara must go retirement outapi ...,0.4,-0.05,Negative,0.0,Neutral
9,9,2022-04-26 18:51:27,vsamoomo,Eenhana,swapo ' flag belongs ?,0.0,0.0,Neutral,0.0,Neutral
10,10,2022-04-26 18:38:09,sinut69,Namibia,"one knows jesus ? confusing whole thing outapi clique thievery. spoilt swapo thinking rule forever jesus comes . ' read article one thing certain , last kicks dying zebra , horse , shamefull",0.3595238095238095,0.028571428571428574,Positive,-0.4215,Negative
11,11,2022-04-26 18:34:33,ChikoDracula,Namibia,forcing people ... unfair distribution resources country. never go swapo .,1.0,-0.5,Negative,-0.4767,Negative
12,12,2022-04-26 18:31:59,ShaunWhittake15,Windhoek ,swapo elite becoming desperate understand days over. namibians enough corruption. appealing christian superstition going save swapo 2024 .,0.5700000000000001,0.07,Positive,0.2263,Positive
13,13,2022-04-26 18:27:46,OmWengo,Windhoek,"swapo , put people swapo power ? national flag national flag , swapo given power create it. words democratically right echo. leaders focus serving people want power , self identity",0.5357142857142857,0.2857142857142857,Positive,0.34,Positive
14,14,2022-04-26 18:19:19,EricSikena,Namibia,"atleast within swapo give power youth , since independence old people recycled one ministry another .",0.2,0.1,Positive,0.0,Neutral
15,15,2022-04-26 16:30:26,TheNamibian,"Windhoek, Namibia",opposition parties warpath prime minister saara kuugongelwa amadhila took leaf former south african president jacob zuma ' political playbook saying swapo kept power jesus returns.,0.03333333333333333,0.0,Neutral,0.4019,Positive
16,16,2022-04-26 14:16:09,ShaLongeiko_sr,Namibia,"day swapo lose elections , historical upset time. swear day shall come soon gonna believe happened. mark date ! ! ! way mock jesus way , embrassed .",0.0,0.0,Neutral,-0.8472,Negative
17,17,2022-04-26 13:31:53,jones58496143,Namibia,something last election ruled unconstitutional yet hage charge swapo ruling party shows depth corruption within borders among politicians literally screwed like real,0.18333333333333335,0.1,Positive,0.25,Positive
18,18,2022-04-26 13:15:25,sinut69,Namibia,"whilst swapo rulers living lavishly families cronies , many sold namibian resources bronze platter , stealing country bankrupt telling us money , enjoying lavish celebrations. people ' pensions",0.55,0.5,Positive,-0.5994,Negative
19,19,2022-04-26 12:59:17,Talk2Kilian,Namibia,words come bite her. ask meme kahungu said windhoek mayoral leadership swapo. today ?,0.0,0.0,Neutral,0.0,Neutral
20,20,2022-04-26 12:53:02,Atutyeke,Namibia,swapo running away corruption like,0.0,0.0,Neutral,0.3612,Positive
21,21,2022-04-26 11:59:19,asser_08,swakopmund,"support swapo jesus came , briefly explain ? 55marks",0.3333333333333333,0.0,Neutral,0.4019,Positive
22,22,2022-04-26 10:57:09,JTjikeu,Windhoek,"immanuel swapo already failed nation. 32 years independence , 1.6 millions people ' living poverty. unless want power self enrichment purposes ...",0.3,-0.5,Negative,-0.743,Negative
23,23,2022-04-26 10:45:03,TheNamibian,"Windhoek, Namibia",namibian exile kids association neka launched strategic plan 2022 2024 includes one goals attaining affiliation membership swapo.,0.0,0.0,Neutral,0.128,Positive
24,24,2022-04-26 10:42:09,Napatye_992,Namibia,swapo broken organization needs fixer like olivia pope .... sadly plans change things still eating stealing,0.7,-0.45,Negative,-0.7964,Negative
25,25,2022-04-26 10:36:36,ChikoDracula,Namibia,forget ... time ! swapo two years .,0.0,0.0,Neutral,-0.2942,Negative
26,26,2022-04-26 10:22:25,IsraelPandu,Windhoek | Ontananga,"thing keep swapo power votes otherwise , ' cooking",0.0,0.0,Neutral,0.0,Neutral
27,27,2022-04-26 10:13:38,Takamitheni1,Windhoek,sands whole swapo hell right?? ? dont think juses likes criminals .,0.46785714285714286,0.24285714285714285,Positive,-0.9037,Negative
28,28,2022-04-26 10:09:10,Junias_Andjene,Windhoek Namibia,swapo day story past like jesus.,0.25,-0.25,Negative,0.3612,Positive
29,29,2022-04-26 09:12:51,Napatye_992,Namibia,swapo broken organization needs fixer like olivia pope,0.4,-0.4,Negative,-0.1531,Negative
30,30,2022-04-26 09:05:50,TheNamibian,"Windhoek, Namibia","allow swapo defeated jesus comes back , prime minister saara kuugongelwa amadhila recently said. get today ' issue namibian more.",0.25,0.16666666666666666,Positive,-0.296,Negative
31,31,2022-04-26 08:45:53,AsserNtinda,"Windhoek, Namibia","mee saara ! jesus came back 2019 swapo lost two thirds majority many municipalities. wake calls. love swapo , unless swapo mends broken fences seals leaky roofs , worst come. many people think differently swapo today.",0.5142857142857143,0.014285714285714282,Positive,-0.68,Negative
32,32,2022-04-26 08:39:37,mollerjose2,Namibia,lmk really stupid swapo people shame using jesus name ashame people namibia .. ! ! ! thugs thats are. ! ! !,1.0,-1.0,Negative,-0.8386,Negative
33,33,2022-04-26 06:20:29,Ellygrand04,Windhoek,choice give end swapo,0.0,0.0,Neutral,0.0,Neutral
34,34,2022-04-26 06:04:57,sinut69,Namibia,"' high time swapo government stop ' decided rule amongst otjiherero speaking speaking community , swapo different apartheid ...",0.57,0.08,Positive,-0.296,Negative
35,35,2022-04-26 05:28:19,d162c8dbcdda4c5,"Johannesburg, South Africa",swapo ruined beautiful nation,1.0,0.85,Positive,0.2023,Positive
36,36,2022-04-25 21:07:13,NewEraNewspaper,Namibia,"veteran diplomat kaire mbuende elected new district secretary swapo party elders council okorukambe district , omaheke region. spec secretary mukwaita shanyengana confirmed. mbuende replaces omaheke governor pijoo nganate.",0.48484848484848486,0.1787878787878788,Positive,0.4019,Positive
37,37,2022-04-25 18:35:08,NBCDigitalNews,"Windhoek, Namibia","restructuring process weekend , swapo party elders council okorukambe district elected dr kaire mbuende secretary , magdalena risuro mobiliser , hendrik nuseb party elders ' council treasurer.",0.0,0.0,Neutral,0.7096,Positive
38,38,2022-04-25 17:23:42,NBCDigitalNews,"Windhoek, Namibia",made remarks okatana oshana region 62nd swapo party anniversary celebrations. #nbcnews #nbcdstv282 #nbcdigitalnews,0.0,0.0,Neutral,0.4019,Positive
39,39,2022-04-25 17:23:41,NBCDigitalNews,"Windhoek, Namibia","swapo party politburo central committee member , saara kuugongelwa amadhila urged fellow party members supporters allow controlled opposition. #nbcnews #nbcdstv282 #nbcdigitalnews",0.25,0.0,Neutral,0.8481,Positive
40,40,2022-04-25 12:10:22,DCaughtyou,Namibia ,might join swapo,0.0,0.0,Neutral,0.296,Positive
41,41,2022-04-25 07:25:52,tuhanganeni,Namibia ,love ndilimani songs. even hate swapo. ideological differences leaders helm party. madam headquarters particular,0.611111111111111,-0.04444444444444446,Negative,0.4939,Positive
42,42,2022-04-25 01:55:32,TSABroadcasting,"Pretoria, South Africa","rikki tikki air force army conducted joint training order counter future incursions swapo. alongside formations mirages flown around conducting cas trainings army recently got several grk mortars , test fired today success.",0.09375,0.075,Positive,0.0258,Positive
43,43,2022-04-24 22:22:08,poeksie29,"Windhoek, Namibia",heading next swapo rally score small small tender,0.26666666666666666,-0.16666666666666666,Negative,0.0,Neutral
44,44,2022-04-24 22:14:08,Dangerousgroun2,Namibia,"even hate swapo , ndilimani songs comes ' sing along bossa",0.9,-0.8,Negative,-0.5719,Negative
45,45,2022-04-24 16:56:09,hagegeingob,Namibia,"engaged spontaneous walkabout residents tsumeb , including school learners. teacher early 1960s tsumeb home joined swapo here. holds special place heart thank residents love warm , spontaneous reception.",0.6452380952380953,0.4595238095238095,Positive,0.9531,Positive
46,46,2022-04-24 14:48:54,NamPresidency,"Windhoek, Namibia",tsumeb holds special place life president geingob town president worked school teacher early 1960s left exile fight freedom. also town joined swapo .,0.2904761904761905,0.1523809523809524,Positive,0.6486,Positive
47,47,2022-04-24 12:58:07,Benedick_M_Louw,"Windhoek, Namibia",nowadays people ' want associated anything resembles swapo.,0.0,0.0,Neutral,0.0772,Positive
48,48,2022-04-24 05:46:40,TSABroadcasting,"Pretoria, South Africa","rikki tikki saaf aircraft reportedly bombed several key swapo positions around called ovamboland kavangoland bantustans. mirages seen conducting air sorties swapo logistic sites , killing several crippling supply routes.",0.3333333333333333,0.0,Neutral,-0.6597,Negative
49,49,2022-04-24 03:19:18,Dankoolkihd,Windhoek,welcome swapo,0.9,0.8,Positive,0.4588,Positive
50,50,2022-04-23 18:17:26,NBCDigitalNews,"Windhoek, Namibia",swapo members swapo party kharas region celebrated party ' 62nd birthday anniversary keetmanshoop. swapo party liberation struggle stalwart ben boys delivered keynote address. report luqman cloete #nbcnews #nbcdstv282 #nbcdigitalnews,0.75,0.35,Positive,0.8591,Positive
51,51,2022-04-23 17:24:59,sinut69,Namibia,"poor man , ndishishi , kapofi simataa zimbabwean cogorts brought sme bank ' knees leaving luxuries courtesy swapo government poor guy must suffer much. hypocrisy justice capitalist systems adopted default ..",0.4666666666666666,-0.20000000000000004,Negative,-0.5859,Negative
52,52,2022-04-23 15:38:40,MariaAb56706009,,omuna ondumbo ..... amushelelo ryt thing us non swapo,0.0,0.0,Neutral,0.0,Neutral
53,53,2022-04-23 08:52:06,colin_M10,Namibia,"bread winner current national situation affairs , motivate family members vote. right activist. help activists. #arsenal #manunited #swapo #nationalassembly #nato #activist",0.46785714285714286,0.14285714285714285,Positive,0.8442,Positive
54,54,2022-04-23 04:40:39,sinut69,Namibia,"' good voted ipc lpm , rest history come 2024 , people vote vote swapo dictators hungered blind power ...",0.6333333333333333,0.09999999999999998,Positive,0.0516,Positive
55,55,2022-04-22 18:18:09,BossMadam05,Windhoek,immanuel low swapo go oshili ! man need stop .its unacceptable,0.3,0.0,Neutral,-0.7644,Negative
56,56,2022-04-22 17:27:33,BossMadam05,Windhoek,"founding president main speaker swapo party birthday celebration tomorrow omusati region , yaholike efeni omusamane afudhepo , hes fragile .",0.41666666666666663,0.08333333333333333,Positive,0.4019,Positive
57,57,2022-04-22 16:22:51,sinut69,Namibia,"mutorwa high echelons swapo constituencies kavango regions dire state backwardness , singing semaa uuulipeni , swapo rallies , people must wake smell coffee.else ' also easy understand , mutorwa look belly",0.6866666666666666,0.2966666666666667,Positive,-0.0258,Negative
58,58,2022-04-22 14:36:27,Ellygrand04,Windhoek,future ama 20s telling history thier kids like white people colonise parents 1990 swapo took also colonise us ..,0.0625,0.0,Neutral,0.3612,Positive
59,59,2022-04-22 09:30:32,TheNamibian,"Windhoek, Namibia",swapo party week send delegation germany engage country ' government different issues.,0.6,0.0,Neutral,0.6249,Positive
60,60,2022-04-22 07:59:12,namibiansun,Namibia ,"swapo keeping tight lid details regarding trip berlin , germany , party officials , amid talks genocide subject agenda.",0.30952380952380953,-0.17261904761904762,Negative,0.4019,Positive
61,61,2022-04-22 06:25:16,theconfidente,"Windhoek, Namibia","pave way young meme doctor hilary mare liberation stalwart , swapo icon namibia first female doctor , dr libertine inaviposa amathila popularly known meme doctor said swapo must pass",0.45,0.2375,Positive,0.2263,Positive
62,62,2022-04-22 05:52:42,hangs_v,Namibia,"still part system ' even amazed pampering words tell ' swapo things turning blind retirement must fall , want say never seen differences ? must wake swapo",0.6666666666666666,-0.5,Negative,0.2023,Positive
63,63,2022-04-22 05:18:23,EbbenTondo,Namibia ,god ' reply swapo ' independence antics,0.0,0.0,Neutral,0.2732,Positive
64,64,2022-04-22 04:27:54,abilem25,windhoek,sure swapo bar edundja. structure looks familiar lots bars north,0.6944444444444444,0.4375,Positive,0.3182,Positive
65,65,2022-04-22 04:26:06,abilem25,windhoek,cde lot zimbo ' engineers working engineering consulting companies. could offered better design. remember volvo incident 11 mill gt 4 mil. swapo,0.5,0.5,Positive,0.6124,Positive
66,66,2022-04-21 22:02:57,JohnnyKamukwema,Namibia,swapo leaders fishing permit poor besides ' pilchard fish ocean god,0.6,-0.4,Negative,-0.25,Negative
67,67,2022-04-21 20:02:14,sinut69,Namibia,"correct , want stay even walk knees , ' majority namibians living standards going , chaise.swapo driving country dungeons , today ' money , seriously. ministers cohorts lives nicely",0.8333333333333333,0.13333333333333333,Positive,0.3612,Positive
68,68,2022-04-21 19:14:39,Simasiku_,Namibia,swapo,0.0,0.0,Neutral,0.0,Neutral
69,69,2022-04-21 18:38:11,BoickyH,"Namibia, Ongwediva",", state swapo money ?",0.0,0.0,Neutral,0.0,Neutral
70,70,2022-04-21 18:28:12,PaulusSt,"windhoek,Namibia",neff get lot people voting 2024 elections. right commendable tackling things swapo others ignored 30 years. exploitation local people foreigners,0.26785714285714285,0.14285714285714285,Positive,-0.3182,Negative
71,71,2022-04-21 18:19:42,hileni_paulus,Namibia,money like swapo,0.0,0.0,Neutral,0.3612,Positive
72,72,2022-04-21 17:39:10,Alberenzo1,Windhoek,"surprise , shocked , normal napo swapo government .",0.725,-0.27499999999999997,Negative,-0.0516,Negative
