,Tweet,VADERsentiment
0,must blame mr ekandjo ! everything belong swapo .,Negative
1,call national flag say belong swapo ? contradiction .,Negative
2,"immanuel benefits swapo wants stay power till jesus comes . saara co ' see anything wrong , heads ' well oiled machine. ship sank already , ' drawing .",Positive
3,swanu flag inspired swapo flag ?,Positive
4,swapo wants rule enrich pockets like pm. kak biased shows .,Positive
5,"swapo want claim namibia flag belongs party still named south west africa ? serious , name would changed 1990 nampo problem swapo think citizens serve instead serving people .",Neutral
6,swapo go hell sowaar done ' fact useless president thank since national flag belong swapo utter nonsense let power get heads shit comes mouth,Negative
7,mad ... swapo namibia,Negative
8,992 woman babelaas ... swapo gone dogs ... long overdue ... saara must go retirement outapi ...,Neutral
9,swapo ' flag belongs ?,Neutral
10,"one knows jesus ? confusing whole thing outapi clique thievery. spoilt swapo thinking rule forever jesus comes . ' read article one thing certain , last kicks dying zebra , horse , shamefull",Negative
11,forcing people ... unfair distribution resources country. never go swapo .,Negative
12,swapo elite becoming desperate understand days over. namibians enough corruption. appealing christian superstition going save swapo 2024 .,Positive
13,"swapo , put people swapo power ? national flag national flag , swapo given power create it. words democratically right echo. leaders focus serving people want power , self identity",Positive
14,"atleast within swapo give power youth , since independence old people recycled one ministry another .",Neutral
15,opposition parties warpath prime minister saara kuugongelwa amadhila took leaf former south african president jacob zuma ' political playbook saying swapo kept power jesus returns.,Positive
16,"day swapo lose elections , historical upset time. swear day shall come soon gonna believe happened. mark date ! ! ! way mock jesus way , embrassed .",Negative
17,something last election ruled unconstitutional yet hage charge swapo ruling party shows depth corruption within borders among politicians literally screwed like real,Positive
18,"whilst swapo rulers living lavishly families cronies , many sold namibian resources bronze platter , stealing country bankrupt telling us money , enjoying lavish celebrations. people ' pensions",Negative
19,words come bite her. ask meme kahungu said windhoek mayoral leadership swapo. today ?,Neutral
20,swapo running away corruption like,Positive
21,"support swapo jesus came , briefly explain ? 55marks",Positive
22,"immanuel swapo already failed nation. 32 years independence , 1.6 millions people ' living poverty. unless want power self enrichment purposes ...",Negative
23,namibian exile kids association neka launched strategic plan 2022 2024 includes one goals attaining affiliation membership swapo.,Positive
24,swapo broken organization needs fixer like olivia pope .... sadly plans change things still eating stealing,Negative
25,forget ... time ! swapo two years .,Negative
26,"thing keep swapo power votes otherwise , ' cooking",Neutral
27,sands whole swapo hell right?? ? dont think juses likes criminals .,Negative
28,swapo day story past like jesus.,Positive
29,swapo broken organization needs fixer like olivia pope,Negative
30,"allow swapo defeated jesus comes back , prime minister saara kuugongelwa amadhila recently said. get today ' issue namibian more.",Negative
31,"mee saara ! jesus came back 2019 swapo lost two thirds majority many municipalities. wake calls. love swapo , unless swapo mends broken fences seals leaky roofs , worst come. many people think differently swapo today.",Negative
32,lmk really stupid swapo people shame using jesus name ashame people namibia .. ! ! ! thugs thats are. ! ! !,Negative
33,choice give end swapo,Neutral
34,"' high time swapo government stop ' decided rule amongst otjiherero speaking speaking community , swapo different apartheid ...",Negative
35,swapo ruined beautiful nation,Positive
36,"veteran diplomat kaire mbuende elected new district secretary swapo party elders council okorukambe district , omaheke region. spec secretary mukwaita shanyengana confirmed. mbuende replaces omaheke governor pijoo nganate.",Positive
37,"restructuring process weekend , swapo party elders council okorukambe district elected dr kaire mbuende secretary , magdalena risuro mobiliser , hendrik nuseb party elders ' council treasurer.",Positive
38,made remarks okatana oshana region 62nd swapo party anniversary celebrations. #nbcnews #nbcdstv282 #nbcdigitalnews,Positive
39,"swapo party politburo central committee member , saara kuugongelwa amadhila urged fellow party members supporters allow controlled opposition. #nbcnews #nbcdstv282 #nbcdigitalnews",Positive
40,might join swapo,Positive
41,love ndilimani songs. even hate swapo. ideological differences leaders helm party. madam headquarters particular,Positive
42,"rikki tikki air force army conducted joint training order counter future incursions swapo. alongside formations mirages flown around conducting cas trainings army recently got several grk mortars , test fired today success.",Positive
43,heading next swapo rally score small small tender,Neutral
44,"even hate swapo , ndilimani songs comes ' sing along bossa",Negative
45,"engaged spontaneous walkabout residents tsumeb , including school learners. teacher early 1960s tsumeb home joined swapo here. holds special place heart thank residents love warm , spontaneous reception.",Positive
46,tsumeb holds special place life president geingob town president worked school teacher early 1960s left exile fight freedom. also town joined swapo .,Positive
47,nowadays people ' want associated anything resembles swapo.,Positive
48,"rikki tikki saaf aircraft reportedly bombed several key swapo positions around called ovamboland kavangoland bantustans. mirages seen conducting air sorties swapo logistic sites , killing several crippling supply routes.",Negative
49,welcome swapo,Positive
50,swapo members swapo party kharas region celebrated party ' 62nd birthday anniversary keetmanshoop. swapo party liberation struggle stalwart ben boys delivered keynote address. report luqman cloete #nbcnews #nbcdstv282 #nbcdigitalnews,Positive
51,"poor man , ndishishi , kapofi simataa zimbabwean cogorts brought sme bank ' knees leaving luxuries courtesy swapo government poor guy must suffer much. hypocrisy justice capitalist systems adopted default ..",Negative
52,omuna ondumbo ..... amushelelo ryt thing us non swapo,Neutral
53,"bread winner current national situation affairs , motivate family members vote. right activist. help activists. #arsenal #manunited #swapo #nationalassembly #nato #activist",Positive
54,"' good voted ipc lpm , rest history come 2024 , people vote vote swapo dictators hungered blind power ...",Positive
55,immanuel low swapo go oshili ! man need stop .its unacceptable,Negative
56,"founding president main speaker swapo party birthday celebration tomorrow omusati region , yaholike efeni omusamane afudhepo , hes fragile .",Positive
57,"mutorwa high echelons swapo constituencies kavango regions dire state backwardness , singing semaa uuulipeni , swapo rallies , people must wake smell coffee.else ' also easy understand , mutorwa look belly",Negative
58,future ama 20s telling history thier kids like white people colonise parents 1990 swapo took also colonise us ..,Positive
59,swapo party week send delegation germany engage country ' government different issues.,Positive
60,"swapo keeping tight lid details regarding trip berlin , germany , party officials , amid talks genocide subject agenda.",Positive
61,"pave way young meme doctor hilary mare liberation stalwart , swapo icon namibia first female doctor , dr libertine inaviposa amathila popularly known meme doctor said swapo must pass",Positive
62,"still part system ' even amazed pampering words tell ' swapo things turning blind retirement must fall , want say never seen differences ? must wake swapo",Positive
63,god ' reply swapo ' independence antics,Positive
64,sure swapo bar edundja. structure looks familiar lots bars north,Positive
65,cde lot zimbo ' engineers working engineering consulting companies. could offered better design. remember volvo incident 11 mill gt 4 mil. swapo,Positive
66,swapo leaders fishing permit poor besides ' pilchard fish ocean god,Negative
67,"correct , want stay even walk knees , ' majority namibians living standards going , chaise.swapo driving country dungeons , today ' money , seriously. ministers cohorts lives nicely",Positive
68,swapo,Neutral
69,", state swapo money ?",Neutral
70,neff get lot people voting 2024 elections. right commendable tackling things swapo others ignored 30 years. exploitation local people foreigners,Negative
71,money like swapo,Positive
72,"surprise , shocked , normal napo swapo government .",Negative
73,"guys lunch room builders contractors , sure swapo bad say , let give chance let give sometime",Negative
74,building swapo offices int districts ?,Neutral
75,former cabinet minister erkki nghimtina says spent n 300 000 n 400 000 build swapo district office edundja village ohangwena region.,Neutral
76,"immanuel pity pg one telling us money lost instead asking look , fima , iha twiilongosha ndishi , swapo killing country",Negative
77,"support comes anc alliance ssn sdc may refuse acknowledge. government fails give kind support may long like zanu pf , bdp , pf swapo bothered levels .",Positive
78,"police kavango east region stopped move residents mashare constituency forcefully close councillor ' office. residents accused constituency swapo party councillor philipus mavara incompetency , allegedly failed ...",Negative
79,"nbc useless , employee went strike last year several times. worried reporting matter. obviously nbc would wish namibian see ' something wrong neff doing. nbc like swapo represent interest .",Negative
80,"swapo secretary general sophia shaningwa described 19 deadly virus , greatly affected ruling party financially.",Positive
81,"civil servants , ' forget failed , corrupt bankrupt hage geingob administration us. deserve pay rise economic troubling times ' it. ever vote swapo , suffer forever. change painful worth .",Negative
82,"namibia , nation ' best interests heart like help people , automatically enemy swapo .",Positive
83,"reason celebrate , zero millionaire. swapo transforming guys life .",Positive
84,"education system collapsed way back swapo gave useless people , dr abraham",Negative
85,"onawa , jumping , left center , jus let swapo",Neutral
86,"swapo mp national assembly dr. tobie aupindi says mining sector potential increase revenue create new industries. however , raised concern budget allocation ministry mines energy enough. #nbcnews",Positive
87,join swapo become millionaire 10 days,Positive
88,kalimbwe swapo never worked opposition lusaka oust unip. must selective learn past generation .,Neutral
89,blame swapo,Negative
90,gucci swapo,Neutral
91,"always stubborn people vote swapo , ' reason ' going forward. popyeni noonyokulu also please tired",Negative
92,"swapo united , hard work ahead 32 years later still singing song ?",Positive
93,' allow anyone make us hate house swapo home,Negative
94,today opo transformed swapo make inclusive namibian organization instead regional organization. therefore celebrate 62 years people party. happy 62 birthday vanguard people party. swapo united hard work ahead .,Positive
95,' leather store access park cpt near kc sell swapo leather jackets ! random !,Neutral
96,"' say , swapo really fumbled bag selling jackets. drip never denied",Positive
97,"tuesday , swapo president hage geingob said ruling party ' governance efforts past 32 years since independence ensured banishment spectre apartheid brutality. added still needs done ensure",Positive
98,"kalimbwe anc , zapu swapo spent time crime lusaka , robbing amd murdering citizens ?",Negative
99,founding president sam nujoma called swapo party women council transform formidable force reckoned namibian society far women children matters concerned.,Positive
100,president hage geingob yesterday waxed lyrical achievement ruling party swapo turned 62 yesterday retired party veterans argued former liberation movement become economic opportunism corruption.,Positive
101,"anc , swapo zanu pf losing support bases. people fed unemployment , corruption nepotism",Negative
102,"eagle fm talks helmut angula swapo past , present future. join wonder 16h30 18h30 home run today.",Positive
103,"swapo secretary general sophia shaningwa hit back questioning defence party , official opening swapo ' oshikango district office tuesday afternoon.",Positive
104,like egg vali ? thought swapo solid rock !,Positive
105,safe except swapo filter. redder flag ..,Positive
106,morning. president need help country namibia . ' poverty corruption swapo government . oil gas resources poor namibia suffering. help us itearm development country please,Negative
107,"sleeping cattles foods still going make noise saying viva swapo viva hage using smll amount energy tht got eating 1 spoon soft porridge hon hage others eating want , sleeping upstairs ?",Positive
108,"mesophia se otuna manga eproblem domanchester united , swapo well hold",Positive
109,swapo headcounters,Neutral
110,shackez95 know swapo member please meme,Positive
111,"swapo elimo nayi ku hage lou lou , made plan show nuuyoma true king is. ' blindly follow sinking ship",Positive
112,"way go , boers spoed swapo nunw 32 good years , viva brave son namibia standing poor black compatriots mistreated capitalist whilst black elites grn eating whites foreigners , ranga , muniaro",Positive
113,"straightforward message , line popular general mood continent self determination national independence swapo party formed , progressive liberation movement .",Positive
114,shackez95 treat swapo like egg,Positive
115,swapo myth one day,Neutral
116,"message excellency dr. , president republic namibia president swapo party occasion 62nd anniversary swapo party #onlyswapo #swapo #swapo62",Positive
117,neeh man already man stop swapo,Negative
118,ano swapo require much defending ?,Neutral
119,happy birthday mighty swapo party ..,Positive
120,swapo secretary general sophia shaningwa says swapo treated care like egg.,Positive
121,tweet reveal swapo supporters anyway also want office national headquarters,Positive
122,swapo party women ' council spwc secretary fransina kahungu committed training future political leaders party today celebrated 62nd birthday.,Positive
123,"namibians , swapo treat namibians like eggs like shit , every week passes insulted swapo dictators , time come , maybe change like dta venaani start eating ruling party time 2024 ...",Positive
124,start treating swapo like egg know someone aromat,Positive
125,"swapo 60 , must retire get penjen go home",Neutral
126,swapo barcelona,Neutral
127,"gave birth group monsters , call swapo leaders tuu ? ?",Neutral
128,happy 62nd birthday swapo party grande old vanguard movement.,Positive
129,"swapo handclappers , comrades looking defenders.",Positive
130,last time something good country 1 april 1989. swapo 1 april 1989 misery us future generations. money blood nothing,Negative
131,symptoms dangerous girlfriend 1. iphone 13 2. natural hair 3. size 5 4. drinks carling black label 5. smokes hubbly 6. tattoos chest 7. swapo filter,Negative
132,today opo transformed swapo make inclusive namibian organization instead regional organization. therefore celebrate 62 years people party. happy 62 birthday vanguard people party. swapo united hard work ahead.,Positive
133,"meme sg must stop tippytoeing come say chest swapo need calibre ar activists. ' known fact celebrities proximity power fail defend party , preoccupied stomach ideological political empty heads.",Negative
134,swapo factions oshana region smoke peace pipe eleventh hour regional coordinator samuel nelongo canceled planned party birthday festivities netumbo nandi ndaitwah scheduled key speaker.,Positive
135,swapo grandfather,Neutral
136,"china russia cold war time see eye eye. china supported apartheid aligned fnla unita angola war umkhoto wesizwe , swapo , mpla cuba.",Negative
137,"party needs real defenders , pretenders. want young people take care party , shaningwa said swapo 62nd anniversary celebrations oshakati sunday. get namibian today !",Positive
138,mistake thinking everybody worship swapo born free ! !,Positive
139,"swapo turns 62 years today , secretary general sophia shaningwa urged members protect treat party egg become fragile vulnerable due divisions infighting.",Positive
140,swapo founded day,Neutral
141,"swapo public relation government public relation. passion whatsoever development narrative , stone face silence. inexplicable. seriously born frees believes whatever written namibian sun etc. impressionable know better .",Positive
142,"swapo secretary general sophia shaningwa said division , factionalism disunity entertained swapo. also warned members party jealously protect it. buy namibian !",Positive
143,"blame public relations team swapo , tell good things swapo done independence. wonder day day basis .",Positive
144,"mekondjo cases , complaints even taken serious government. complained vaccines , vaccinated. complained swapo , vote it. complained swapo yet one majority swapo voters.",Negative
145,"swapo ' oshana regional coordinator , samuel nelongo , last friday said would attend drive event sunday , says meeting swapo secretary general sophia shaningwa resolved differences.",Positive
146,"cde , ask pres question prepare swapo elective congress held later year , please tell still united slate 2017 congress ? earlier better ! bad ask.",Positive
147,vulnerable people getting vouchers use agra instead drought relief packages doorsteps ? people need spend money transport go shops. swapo people even bother think anymore. even owns aggra ?,Negative
